,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,BLOCK,LOT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALEDATE
0,2.0,BATHGATE,01 ONE FAMILY DWELLINGS,3030.0,65.0,4455 PARK AVENUE,,10457.0,1.0,0.0,1.0,"1,622","1,587",1899.0,1.0,A1,"458,000",2020-01-31
1,2.0,BATHGATE,01 ONE FAMILY DWELLINGS,3030.0,67.0,4451 PARK AVENUE,,10457.0,1.0,0.0,1.0,"1,646","1,495",1899.0,1.0,A1,"275,000",2020-03-16
4,2.0,BATHGATE,01 ONE FAMILY DWELLINGS,3039.0,29.0,2327 WASHINGTON AVE,,10458.0,1.0,0.0,1.0,"1,095","1,260",1910.0,1.0,A9,"165,000",2020-03-02
5,2.0,BATHGATE,02 TWO FAMILY DWELLINGS,2912.0,130.0,482 CLAREMONT PARKWAY,,10457.0,2.0,0.0,2.0,"2,000","2,400",1993.0,1.0,B1,0,2020-03-17
8,2.0,BATHGATE,02 TWO FAMILY DWELLINGS,2929.0,114.0,3854 3 AVENUE,,10457.0,2.0,0.0,2.0,"2,883","2,394",1995.0,1.0,B1,0,2020-04-06
9,2.0,BATHGATE,02 TWO FAMILY DWELLINGS,2929.0,128.0,559 CLAREMONT PARKWAY,,10457.0,2.0,0.0,2.0,"2,361","2,394",1995.0,1.0,B1,0,2020-02-26
11,2.0,BATHGATE,02 TWO FAMILY DWELLINGS,3027.0,26.0,414 EAST 178 STREET,,10457.0,2.0,0.0,2.0,"2,000","2,364",1899.0,1.0,B2,"734,000",2020-04-22
12,2.0,BATHGATE,02 TWO FAMILY DWELLINGS,3034.0,138.0,1937 WASHINGTON AVE,,10457.0,2.0,0.0,2.0,"2,250","3,204",1995.0,1.0,B1,"645,000",2020-01-28
13,2.0,BATHGATE,02 TWO FAMILY DWELLINGS,3046.0,54.0,2043 BATHGATE AVENUE,,10457.0,2.0,0.0,2.0,"2,483","1,512",1901.0,1.0,B2,"461,370",2020-01-27
14,2.0,BATHGATE,02 TWO FAMILY DWELLINGS,3047.0,17.0,2123 BATHGATE AVE,,10457.0,2.0,0.0,2.0,"2,500","1,404",1901.0,1.0,B3,"629,000",2020-04-24
17,2.0,BATHGATE,02 TWO FAMILY DWELLINGS,3050.0,90.0,505 EAST 182 STREET,,10457.0,2.0,0.0,2.0,"1,960","2,278",1901.0,1.0,B2,0,2020-06-26
21,2.0,BATHGATE,03 THREE FAMILY DWELLINGS,2898.0,85.0,413 E 173RD STREET,,10457.0,3.0,0.0,3.0,"1,440","2,880",1899.0,1.0,C0,0,2020-06-03
22,2.0,BATHGATE,03 THREE FAMILY DWELLINGS,2903.0,106.0,3818 PARK AVENUE,,10457.0,3.0,0.0,3.0,"3,090","3,402",2003.0,1.0,C0,10,2020-01-15
24,2.0,BATHGATE,03 THREE FAMILY DWELLINGS,3030.0,158.0,412 EAST 183RD STREET,,10458.0,3.0,0.0,3.0,"1,978","3,654",2005.0,1.0,C0,0,2020-02-26
25,2.0,BATHGATE,03 THREE FAMILY DWELLINGS,3031.0,145.0,412 EAST 187 STREET,,10458.0,3.0,0.0,3.0,"1,784","2,302",2004.0,1.0,C0,0,2020-02-04
39,2.0,BATHGATE,07 RENTALS - WALKUP APARTMENTS,2927.0,14.0,3782 3 AVENUE,,10456.0,12.0,2.0,14.0,"2,500","9,419",1931.0,2.0,C7,"1,800,000",2020-01-29
